名稱,縣市,緯度,經度,is_indoor,設施類型,最近測站,測站AQI,距離(km),風險等級
臺中市大雅區秀山社區活動中心,臺中市大雅區,24.229,120.6334,True,室內,沙鹿,35,6.56,Normal
栗林社區活動中心,臺中市潭子區,24.229634,120.712113,True,室內,豐原,22,4.33,Normal
永寧國小操場,臺中市梧棲區,24.23,120.53,False,室外,沙鹿,35,3.96,Normal
國立中科實驗高級中學,臺中市大雅區,24.230138,120.625985,True,室內,沙鹿,35,5.82,Normal
中興嶺停車場,臺中市新社區,24.231226,120.809642,False,室外,豐原,22,7.38,Normal
復盛公園戶外臨時避難收容場所,臺中市新社區,24.231226,120.809642,False,室外,豐原,22,7.38,Normal
臺中市大雅區汝鎏國小1~3樓教室,臺中市大雅區,24.2314,120.6265,True,室內,沙鹿,35,5.89,Normal
新社區老人文康活動中心,臺中市新社區,24.232095,120.80745,True,室內,豐原,22,7.14,Normal
東陽里活動中心,臺中市豐原區,24.2329,120.7476,True,室內,豐原,22,2.73,Normal
興安社區活動中心,臺中市沙鹿區,24.23327,120.562858,True,室內,沙鹿,35,1.04,Normal
興仁社區活動中心,臺中市沙鹿區,24.23327,120.562858,True,室內,沙鹿,35,1.04,Normal
臺中市大雅區大楓社區活動中心,臺中市大雅區,24.2346,120.667,True,室內,豐原,22,8.05,Normal
臺中市大雅區上楓社區活動中心二,臺中市大雅區,24.2347,120.6668,True,室內,豐原,22,8.07,Normal
鎮立公園,臺中市沙鹿區,24.234753,120.566413,False,室外,沙鹿,35,1.04,Normal
沙鹿國民中學操場,臺中市沙鹿區,24.235208,120.563351,False,室外,沙鹿,35,1.2,Normal
臺中市沙鹿國中禮堂,臺中市沙鹿區,24.235208,120.563351,True,室內,沙鹿,35,1.2,Normal
臺中市原住民綜合服務中心,臺中市大雅區,24.235343,120.622359,True,室內,沙鹿,35,5.54,Normal
美仁社區活動中心,臺中市沙鹿區,24.235802,120.561571,True,室內,沙鹿,35,1.35,Normal
居仁社區活動中心,臺中市沙鹿區,24.235802,120.561571,True,室內,沙鹿,35,1.35,Normal
臺中市沙鹿國小禮堂,臺中市沙鹿區,24.235802,120.561571,True,室內,沙鹿,35,1.35,Normal
臺中市大雅區上楓國小庠序樓地下室,臺中市大雅區,24.2361,120.667,True,室內,豐原,22,8.0,Normal
豐田國小,臺中市豐原區,24.237,120.722,True,室內,豐原,22,3.05,Normal
